stratum,budget,qb_options,rb_options,league_id,season,paired_roster_weeks,mean_delta_more_qb,delta_chance_ge_050
SF_1TE,8,4,4,1180084795436826624,2025,4,0.007599909687500002,0.0
SF_1TE,8,4,4,1201959553390891008,2025,2,-0.004759474999999989,0.0
SF_1TE,8,5,3,1045730844721270784,2024,6,-0.015381358958333322,-0.015625
SF_1TE,8,5,3,1055621034914820096,2024,1,-0.16749915000000007,0.0
SF_1TE,8,5,3,1180084795436826624,2025,4,0.008539395937500005,0.0
SF_1TE,8,5,3,1201959553390891008,2025,2,-0.004997448749999988,0.0
SF_1TE,8,6,2,1045730844721270784,2024,4,-0.01909385968749999,0.0
SF_1TE,8,6,2,1180084795436826624,2025,1,0.03660309125000002,0.0
SF_1TE,8,6,2,1201959553390891008,2025,2,-0.0035696062499999915,0.0
SF_1TE,8,7,1,1045730844721270784,2024,3,-0.036237425833333343,0.0
SF_1TE,8,7,1,1180084795436826624,2025,1,0.026383556250000016,0.0
SF_1TE,8,7,1,1201959553390891008,2025,2,-0.004997448749999988,0.0
SF_1TE,9,0,9,1045730844721270784,2024,1,-0.02126446625000002,-0.28125
SF_1TE,9,0,9,1180084795436826624,2025,4,-0.0156491603125,0.0
SF_1TE,9,0,9,914741498980225024,2023,3,-0.001199199999999993,0.0
SF_1TE,9,1,8,1045730844721270784,2024,5,0.006685981249999984,-0.015625
SF_1TE,9,1,8,1180084795436826624,2025,14,0.010453781339285702,0.0
SF_1TE,9,1,8,914741498980225024,2023,4,-0.0007644899999999961,0.0
SF_1TE,9,2,7,1045730844721270784,2024,5,0.004452235250000001,-0.021875
SF_1TE,9,2,7,1180084795436826624,2025,4,-0.0012227153124999969,0.0
SF_1TE,9,3,6,1045730844721270784,2024,1,-0.058513352500000046,-0.078125
SF_1TE,9,3,6,1180084795436826624,2025,3,0.0013465237500000008,0.0
SF_1TE,9,4,5,1045730844721270784,2024,1,-0.042354772500000026,-0.046875
SF_1TE,9,4,5,1180084795436826624,2025,4,0.008776772500000002,0.0
SF_1TE,9,5,4,1045730844721270784,2024,3,-0.027600182499999956,-0.010416666666666666
SF_1TE,9,5,4,1180084795436826624,2025,4,0.008718375312500005,0.0
SF_1TE,9,6,3,1045730844721270784,2024,2,-0.02117279062499998,0.0
SF_1TE,9,6,3,1180084795436826624,2025,1,0.03660309125000002,0.0
SF_1TE,9,7,2,1045730844721270784,2024,2,-0.0396525675,0.0
SF_1TE,9,7,2,1180084795436826624,2025,1,0.026383556250000013,0.0
SF_1TE,9,8,1,1045730844721270784,2024,2,-0.05352307562500003,0.0
SF_2TE,8,0,8,1048278093472837632,2024,3,-0.012798052916666677,0.0
SF_2TE,8,0,8,920016644603248640,2023,7,0.0029482066071428166,-0.015625
SF_2TE,8,1,7,1048274355802820608,2024,6,0.006419797916666685,0.026041666666666668
SF_2TE,8,1,7,1048278093472837632,2024,3,-0.012241615833333344,0.0
SF_2TE,8,1,7,1180578870847586304,2025,3,-0.005067998749999982,0.0
SF_2TE,8,1,7,918260594971672576,2023,1,0.006685131250000108,0.0
SF_2TE,8,1,7,920016644603248640,2023,11,0.020400361136363614,-0.004261363636363636
SF_2TE,8,2,6,1048274355802820608,2024,15,-0.015642583333333314,0.013541666666666667
SF_2TE,8,2,6,1180354306008649728,2025,1,-0.05484710125000003,0.0
SF_2TE,8,2,6,1180578870847586304,2025,4,-0.043527113437500015,-0.02734375
SF_2TE,8,2,6,918260594971672576,2023,2,-0.006857276874999995,0.0
SF_2TE,8,2,6,920016644603248640,2023,14,-0.003381365535714278,0.0
SF_2TE,8,3,5,1048274355802820608,2024,15,0.005772853416666667,0.016666666666666666
SF_2TE,8,3,5,1180354306008649728,2025,1,-0.061335937500000035,0.0
SF_2TE,8,3,5,1180578870847586304,2025,8,-0.026542443906249998,0.0
SF_2TE,8,3,5,918260594971672576,2023,9,-0.0042997047222221975,0.0
SF_2TE,8,3,5,920016644603248640,2023,8,-0.008571142187499993,0.0
SF_2TE,8,4,4,1048274355802820608,2024,9,0.006985497638888884,0.012152777777777778
SF_2TE,8,4,4,1180578870847586304,2025,10,-0.012861915624999998,0.0125
SF_2TE,8,4,4,918260594971672576,2023,5,-0.04701102550000002,0.0
SF_2TE,8,4,4,920016644603248640,2023,5,-0.000919996249999977,-0.0125
SF_2TE,8,5,3,1048274355802820608,2024,9,-0.0027820433333333333,-0.001736111111111111
SF_2TE,8,5,3,1180578870847586304,2025,9,-0.00982647138888888,0.0
SF_2TE,8,5,3,920016644603248640,2023,3,0.014811640416666693,-0.036458333333333336
SF_2TE,8,6,2,1048274355802820608,2024,9,0.004748551111111101,0.017361111111111112
SF_2TE,8,6,2,1048278093472837632,2024,1,-0.00864202499999999,0.0
SF_2TE,8,6,2,1180578870847586304,2025,4,-0.008327531249999978,0.0
SF_2TE,8,7,1,1048274355802820608,2024,8,-0.0014409165625000175,0.04296875
SF_2TE,9,0,9,920016644603248640,2023,3,-0.0013274729166666496,-0.020833333333333332
SF_2TE,9,1,8,1048278093472837632,2024,1,-0.018362423750000016,0.0
SF_2TE,9,1,8,920016644603248640,2023,5,0.0048436907499999635,-0.021875
SF_2TE,9,2,7,1048274355802820608,2024,4,0.0295603103125,0.05859375
SF_2TE,9,2,7,920016644603248640,2023,4,-0.002470441250000007,0.0
SF_2TE,9,3,6,1048274355802820608,2024,9,0.0019328683333333435,0.022569444444444444
SF_2TE,9,3,6,1180578870847586304,2025,2,-0.03392882562499999,0.0
SF_2TE,9,3,6,918260594971672576,2023,1,0.02651283749999997,0.0
SF_2TE,9,3,6,920016644603248640,2023,5,0.0,0.0
SF_2TE,9,4,5,1048274355802820608,2024,6,0.013425872083333337,0.036458333333333336
SF_2TE,9,4,5,1180578870847586304,2025,2,-0.016939042499999946,0.0
SF_2TE,9,4,5,918260594971672576,2023,2,-0.02907050812499994,0.0
SF_2TE,9,4,5,920016644603248640,2023,1,-0.02644319999999999,0.0
SF_2TE,9,5,4,1048274355802820608,2024,6,-0.014042956458333334,-0.010416666666666666
SF_2TE,9,5,4,1180578870847586304,2025,2,-0.025391164999999938,0.0
SF_2TE,9,5,4,920016644603248640,2023,3,-0.008770140416666636,-0.046875
SF_2TE,9,6,3,1048274355802820608,2024,6,0.0007059377083333233,0.015625
SF_2TE,9,6,3,1180578870847586304,2025,2,-0.0024571462499999464,0.0
SF_2TE,9,7,2,1048274355802820608,2024,5,0.0024929532499999713,0.065625
SF_2TE,9,8,1,1048274355802820608,2024,3,0.0018702591666665887,0.08333333333333333
