format,season,position,worp_landmark,last_rank_meeting_landmark,players_meeting_landmark,replacement_starter_count_median,replacement_effective_rank_median
10T_1QB_Start8,2023,QB,0.75,4,4,,13.5
10T_1QB_Start8,2023,RB,0.25,36,36,,27.5
10T_1QB_Start8,2023,RB,0.5,33,33,,27.5
10T_1QB_Start8,2023,RB,0.75,28,28,,27.5
10T_1QB_Start8,2023,WR,0.25,44,44,,38.5
10T_1QB_Start8,2023,WR,0.5,35,35,,38.5
10T_1QB_Start8,2023,WR,0.75,31,31,,38.5
10T_1QB_Start8,2023,TE,0.25,12,12,,13.5
10T_1QB_Start8,2023,TE,0.5,7,7,,13.5
10T_1QB_Start8,2023,TE,0.75,6,6,,13.5
10T_1QB_Start8,2024,QB,0.25,10,10,,13.5
10T_1QB_Start8,2024,QB,0.5,7,7,,13.5
10T_1QB_Start8,2024,QB,0.75,6,6,,13.5
10T_1QB_Start8,2024,RB,0.25,32,32,,28.5
10T_1QB_Start8,2024,RB,0.5,28,28,,28.5
10T_1QB_Start8,2024,RB,0.75,26,26,,28.5
10T_1QB_Start8,2024,WR,0.25,44,44,,35.5
10T_1QB_Start8,2024,WR,0.5,34,34,,35.5
10T_1QB_Start8,2024,WR,0.75,25,25,,35.5
10T_1QB_Start8,2024,TE,0.25,13,13,,13.5
10T_1QB_Start8,2024,TE,0.5,9,9,,13.5
10T_1QB_Start8,2024,TE,0.75,4,4,,13.5
10T_1QB_Start8,2025,QB,0.25,9,9,,13.5
10T_1QB_Start8,2025,QB,0.5,6,6,,13.5
10T_1QB_Start8,2025,QB,0.75,5,5,,13.5
10T_1QB_Start8,2025,RB,0.25,32,32,,29.5
10T_1QB_Start8,2025,RB,0.5,30,30,,29.5
10T_1QB_Start8,2025,RB,0.75,28,28,,29.5
10T_1QB_Start8,2025,WR,0.25,35,35,,35.5
10T_1QB_Start8,2025,WR,0.5,27,27,,35.5
10T_1QB_Start8,2025,WR,0.75,17,17,,35.5
10T_1QB_Start8,2025,TE,0.25,15,15,,15.5
10T_1QB_Start8,2025,TE,0.5,8,8,,15.5
10T_1QB_Start8,2025,TE,0.75,3,3,,15.5
12T_1QB_Start8,2016,QB,0.25,19,19,,15.5
12T_1QB_Start8,2016,QB,0.5,8,8,,15.5
12T_1QB_Start8,2016,QB,0.75,6,6,,15.5
12T_1QB_Start8,2016,RB,0.25,35,35,,31.5
12T_1QB_Start8,2016,RB,0.5,30,30,,31.5
12T_1QB_Start8,2016,RB,0.75,26,26,,31.5
12T_1QB_Start8,2016,WR,0.25,53,53,,45.5
12T_1QB_Start8,2016,WR,0.5,40,40,,45.5
12T_1QB_Start8,2016,WR,0.75,29,29,,45.5
12T_1QB_Start8,2016,TE,0.25,17,17,,16.5
12T_1QB_Start8,2016,TE,0.5,14,14,,16.5
12T_1QB_Start8,2016,TE,0.75,8,8,,16.5
12T_1QB_Start8,2017,QB,0.25,15,15,,15.5
12T_1QB_Start8,2017,QB,0.5,10,10,,15.5
12T_1QB_Start8,2017,QB,0.75,7,7,,15.5
12T_1QB_Start8,2017,RB,0.25,41,41,,34.5
12T_1QB_Start8,2017,RB,0.5,33,33,,34.5
12T_1QB_Start8,2017,RB,0.75,26,26,,34.5
12T_1QB_Start8,2017,WR,0.25,50,50,,42.5
12T_1QB_Start8,2017,WR,0.5,41,41,,42.5
12T_1QB_Start8,2017,WR,0.75,27,27,,42.5
12T_1QB_Start8,2017,TE,0.25,11,11,,16.5
12T_1QB_Start8,2017,TE,0.5,7,7,,16.5
12T_1QB_Start8,2017,TE,0.75,5,5,,16.5
12T_1QB_Start8,2018,QB,0.25,16,16,,15.5
12T_1QB_Start8,2018,QB,0.5,10,10,,15.5
12T_1QB_Start8,2018,QB,0.75,9,9,,15.5
12T_1QB_Start8,2018,RB,0.25,36,36,,33.5
12T_1QB_Start8,2018,RB,0.5,33,33,,33.5
12T_1QB_Start8,2018,RB,0.75,29,29,,33.5
12T_1QB_Start8,2018,WR,0.25,46,46,,44.5
12T_1QB_Start8,2018,WR,0.5,32,32,,44.5
12T_1QB_Start8,2018,WR,0.75,26,26,,44.5
12T_1QB_Start8,2018,TE,0.25,9,9,,15.5
12T_1QB_Start8,2018,TE,0.5,7,7,,15.5
12T_1QB_Start8,2018,TE,0.75,5,5,,15.5
12T_1QB_Start8,2019,QB,0.25,14,14,,15.5
12T_1QB_Start8,2019,QB,0.5,9,9,,15.5
12T_1QB_Start8,2019,QB,0.75,6,6,,15.5
12T_1QB_Start8,2019,RB,0.25,42,42,,33.5
12T_1QB_Start8,2019,RB,0.5,33,33,,33.5
12T_1QB_Start8,2019,RB,0.75,28,28,,33.5
12T_1QB_Start8,2019,WR,0.25,49,49,,44.5
12T_1QB_Start8,2019,WR,0.5,39,39,,44.5
12T_1QB_Start8,2019,WR,0.75,31,31,,44.5
12T_1QB_Start8,2019,TE,0.25,12,12,,16.5
12T_1QB_Start8,2019,TE,0.5,10,10,,16.5
12T_1QB_Start8,2019,TE,0.75,7,7,,16.5
12T_1QB_Start8,2020,QB,0.25,12,12,,15.5
12T_1QB_Start8,2020,QB,0.5,12,12,,15.5
12T_1QB_Start8,2020,QB,0.75,10,10,,15.5
12T_1QB_Start8,2020,RB,0.25,39,39,,32.5
12T_1QB_Start8,2020,RB,0.5,32,32,,32.5
12T_1QB_Start8,2020,RB,0.75,27,27,,32.5
12T_1QB_Start8,2020,WR,0.25,52,52,,45.5
12T_1QB_Start8,2020,WR,0.5,40,40,,45.5
12T_1QB_Start8,2020,WR,0.75,34,34,,45.5
12T_1QB_Start8,2020,TE,0.25,13,13,,16.5
12T_1QB_Start8,2020,TE,0.5,8,8,,16.5
12T_1QB_Start8,2020,TE,0.75,5,5,,16.5
12T_1QB_Start8,2021,QB,0.25,13,13,,15.5
12T_1QB_Start8,2021,QB,0.5,12,12,,15.5
12T_1QB_Start8,2021,QB,0.75,11,11,,15.5
12T_1QB_Start8,2021,RB,0.25,45,45,,33.5
12T_1QB_Start8,2021,RB,0.5,34,34,,33.5
12T_1QB_Start8,2021,RB,0.75,28,28,,33.5
12T_1QB_Start8,2021,WR,0.25,49,49,,43.5
12T_1QB_Start8,2021,WR,0.5,36,36,,43.5
12T_1QB_Start8,2021,WR,0.75,31,31,,43.5
12T_1QB_Start8,2021,TE,0.25,15,15,,16.5
12T_1QB_Start8,2021,TE,0.5,11,11,,16.5
12T_1QB_Start8,2021,TE,0.75,6,6,,16.5
12T_1QB_Start8,2022,QB,0.25,15,15,,15.5
12T_1QB_Start8,2022,QB,0.5,13,13,,15.5
12T_1QB_Start8,2022,QB,0.75,9,9,,15.5
12T_1QB_Start8,2022,RB,0.25,43,43,,33.5
12T_1QB_Start8,2022,RB,0.5,37,37,,33.5
12T_1QB_Start8,2022,RB,0.75,29,29,,33.5
12T_1QB_Start8,2022,WR,0.25,48,48,,44.5
12T_1QB_Start8,2022,WR,0.5,36,36,,44.5
12T_1QB_Start8,2022,WR,0.75,30,30,,44.5
12T_1QB_Start8,2022,TE,0.25,12,12,,15.5
12T_1QB_Start8,2022,TE,0.5,6,6,,15.5
12T_1QB_Start8,2022,TE,0.75,4,4,,15.5
12T_1QB_Start8,2023,QB,0.25,16,16,,15.5
12T_1QB_Start8,2023,QB,0.5,10,10,,15.5
12T_1QB_Start8,2023,QB,0.75,5,5,,15.5
12T_1QB_Start8,2023,RB,0.25,41,41,,33.5
12T_1QB_Start8,2023,RB,0.5,35,35,,33.5
12T_1QB_Start8,2023,RB,0.75,34,34,,33.5
12T_1QB_Start8,2023,WR,0.25,51,51,,43.5
12T_1QB_Start8,2023,WR,0.5,43,43,,43.5
12T_1QB_Start8,2023,WR,0.75,37,37,,43.5
12T_1QB_Start8,2023,TE,0.25,14,14,,17.0
12T_1QB_Start8,2023,TE,0.5,12,12,,17.0
12T_1QB_Start8,2023,TE,0.75,7,7,,17.0
12T_1QB_Start8,2024,QB,0.25,12,12,,15.5
12T_1QB_Start8,2024,QB,0.5,12,12,,15.5
12T_1QB_Start8,2024,QB,0.75,8,8,,15.5
12T_1QB_Start8,2024,RB,0.25,37,37,,34.5
12T_1QB_Start8,2024,RB,0.5,32,32,,34.5
12T_1QB_Start8,2024,RB,0.75,30,30,,34.5
12T_1QB_Start8,2024,WR,0.25,50,50,,43.5
12T_1QB_Start8,2024,WR,0.5,44,44,,43.5
12T_1QB_Start8,2024,WR,0.75,36,36,,43.5
12T_1QB_Start8,2024,TE,0.25,14,14,,17.5
12T_1QB_Start8,2024,TE,0.5,11,11,,17.5
12T_1QB_Start8,2024,TE,0.75,8,8,,17.5
12T_1QB_Start8,2025,QB,0.25,13,13,,15.5
12T_1QB_Start8,2025,QB,0.5,10,10,,15.5
12T_1QB_Start8,2025,QB,0.75,5,5,,15.5
12T_1QB_Start8,2025,RB,0.25,41,41,,33.5
12T_1QB_Start8,2025,RB,0.5,32,32,,33.5
12T_1QB_Start8,2025,RB,0.75,31,31,,33.5
12T_1QB_Start8,2025,WR,0.25,47,47,,41.5
12T_1QB_Start8,2025,WR,0.5,38,38,,41.5
12T_1QB_Start8,2025,WR,0.75,30,30,,41.5
12T_1QB_Start8,2025,TE,0.25,20,20,,18.5
12T_1QB_Start8,2025,TE,0.5,15,15,,18.5
12T_1QB_Start8,2025,TE,0.75,8,8,,18.5
12T_1QB_Start11,2016,QB,0.25,15,15,,15.5
12T_1QB_Start11,2016,QB,0.5,7,7,,15.5
12T_1QB_Start11,2016,QB,0.75,5,5,,15.5
12T_1QB_Start11,2016,RB,0.25,55,55,,42.5
12T_1QB_Start11,2016,RB,0.5,46,46,,42.5
12T_1QB_Start11,2016,RB,0.75,36,36,,42.5
12T_1QB_Start11,2016,WR,0.25,77,77,,62.5
12T_1QB_Start11,2016,WR,0.5,61,61,,62.5
12T_1QB_Start11,2016,WR,0.75,53,53,,62.5
12T_1QB_Start11,2016,TE,0.25,29,29,,25.5
12T_1QB_Start11,2016,TE,0.5,22,22,,25.5
12T_1QB_Start11,2016,TE,0.75,15,15,,25.5
12T_1QB_Start11,2017,QB,0.25,13,13,,15.5
12T_1QB_Start11,2017,QB,0.5,8,8,,15.5
12T_1QB_Start11,2017,QB,0.75,5,5,,15.5
12T_1QB_Start11,2017,RB,0.25,63,63,,46.5
12T_1QB_Start11,2017,RB,0.5,47,47,,46.5
12T_1QB_Start11,2017,RB,0.75,40,40,,46.5
12T_1QB_Start11,2017,WR,0.25,70,70,,58.5
12T_1QB_Start11,2017,WR,0.5,60,60,,58.5
12T_1QB_Start11,2017,WR,0.75,45,45,,58.5
12T_1QB_Start11,2017,TE,0.25,24,24,,24.5
12T_1QB_Start11,2017,TE,0.5,19,19,,24.5
12T_1QB_Start11,2017,TE,0.75,11,11,,24.5
12T_1QB_Start11,2018,QB,0.25,14,14,,15.5
12T_1QB_Start11,2018,QB,0.5,9,9,,15.5
12T_1QB_Start11,2018,QB,0.75,6,6,,15.5
12T_1QB_Start11,2018,RB,0.25,64,64,,44.5
12T_1QB_Start11,2018,RB,0.5,45,45,,44.5
12T_1QB_Start11,2018,RB,0.75,33,33,,44.5
12T_1QB_Start11,2018,WR,0.25,77,77,,63.5
12T_1QB_Start11,2018,WR,0.5,57,57,,63.5
12T_1QB_Start11,2018,WR,0.75,47,47,,63.5
12T_1QB_Start11,2018,TE,0.25,19,19,,23.5
12T_1QB_Start11,2018,TE,0.5,13,13,,23.5
12T_1QB_Start11,2018,TE,0.75,8,8,,23.5
12T_1QB_Start11,2019,QB,0.25,13,13,,15.5
12T_1QB_Start11,2019,QB,0.5,7,7,,15.5
12T_1QB_Start11,2019,QB,0.75,4,4,,15.5
12T_1QB_Start11,2019,RB,0.25,59,59,,45.5
12T_1QB_Start11,2019,RB,0.5,47,47,,45.5
12T_1QB_Start11,2019,RB,0.75,38,38,,45.5
12T_1QB_Start11,2019,WR,0.25,73,73,,60.5
12T_1QB_Start11,2019,WR,0.5,58,58,,60.5
12T_1QB_Start11,2019,WR,0.75,46,46,,60.5
12T_1QB_Start11,2019,TE,0.25,26,26,,24.5
12T_1QB_Start11,2019,TE,0.5,15,15,,24.5
12T_1QB_Start11,2019,TE,0.75,10,10,,24.5
12T_1QB_Start11,2020,QB,0.25,12,12,,15.5
12T_1QB_Start11,2020,QB,0.5,11,11,,15.5
12T_1QB_Start11,2020,QB,0.75,10,10,,15.5
12T_1QB_Start11,2020,RB,0.25,57,57,,43.5
12T_1QB_Start11,2020,RB,0.5,47,47,,43.5
12T_1QB_Start11,2020,RB,0.75,35,35,,43.5
12T_1QB_Start11,2020,WR,0.25,72,72,,63.5
12T_1QB_Start11,2020,WR,0.5,57,57,,63.5
12T_1QB_Start11,2020,WR,0.75,47,47,,63.5
12T_1QB_Start11,2020,TE,0.25,23,23,,24.5
12T_1QB_Start11,2020,TE,0.5,20,20,,24.5
12T_1QB_Start11,2020,TE,0.75,10,10,,24.5
12T_1QB_Start11,2021,QB,0.25,12,12,,15.5
12T_1QB_Start11,2021,QB,0.5,12,12,,15.5
12T_1QB_Start11,2021,QB,0.75,10,10,,15.5
12T_1QB_Start11,2021,RB,0.25,62,62,,44.5
12T_1QB_Start11,2021,RB,0.5,51,51,,44.5
12T_1QB_Start11,2021,RB,0.75,39,39,,44.5
12T_1QB_Start11,2021,WR,0.25,77,77,,60.5
12T_1QB_Start11,2021,WR,0.5,58,58,,60.5
12T_1QB_Start11,2021,WR,0.75,46,46,,60.5
12T_1QB_Start11,2021,TE,0.25,23,23,,23.5
12T_1QB_Start11,2021,TE,0.5,18,18,,23.5
12T_1QB_Start11,2021,TE,0.75,16,16,,23.5
12T_1QB_Start11,2022,QB,0.25,15,15,,15.5
12T_1QB_Start11,2022,QB,0.5,10,10,,15.5
12T_1QB_Start11,2022,QB,0.75,6,6,,15.5
12T_1QB_Start11,2022,RB,0.25,58,58,,44.5
12T_1QB_Start11,2022,RB,0.5,45,45,,44.5
12T_1QB_Start11,2022,RB,0.75,40,40,,44.5
12T_1QB_Start11,2022,WR,0.25,79,79,,61.5
12T_1QB_Start11,2022,WR,0.5,58,58,,61.5
12T_1QB_Start11,2022,WR,0.75,47,47,,61.5
12T_1QB_Start11,2022,TE,0.25,25,25,,23.5
12T_1QB_Start11,2022,TE,0.5,17,17,,23.5
12T_1QB_Start11,2022,TE,0.75,8,8,,23.5
12T_1QB_Start11,2023,QB,0.25,15,15,,15.5
12T_1QB_Start11,2023,QB,0.5,7,7,,15.5
12T_1QB_Start11,2023,QB,0.75,4,4,,15.5
12T_1QB_Start11,2023,RB,0.25,51,51,,44.5
12T_1QB_Start11,2023,RB,0.5,44,44,,44.5
12T_1QB_Start11,2023,RB,0.75,39,39,,44.5
12T_1QB_Start11,2023,WR,0.25,75,75,,61.5
12T_1QB_Start11,2023,WR,0.5,60,60,,61.5
12T_1QB_Start11,2023,WR,0.75,47,47,,61.5
12T_1QB_Start11,2023,TE,0.25,25,25,,25.5
12T_1QB_Start11,2023,TE,0.5,17,17,,25.5
12T_1QB_Start11,2023,TE,0.75,12,12,,25.5
12T_1QB_Start11,2024,QB,0.25,12,12,,15.5
12T_1QB_Start11,2024,QB,0.5,9,9,,15.5
12T_1QB_Start11,2024,QB,0.75,6,6,,15.5
12T_1QB_Start11,2024,RB,0.25,54,54,,44.5
12T_1QB_Start11,2024,RB,0.5,43,43,,44.5
12T_1QB_Start11,2024,RB,0.75,36,36,,44.5
12T_1QB_Start11,2024,WR,0.25,85,85,,61.5
12T_1QB_Start11,2024,WR,0.5,63,63,,61.5
12T_1QB_Start11,2024,WR,0.75,51,51,,61.5
12T_1QB_Start11,2024,TE,0.25,30,30,,25.5
12T_1QB_Start11,2024,TE,0.5,18,18,,25.5
12T_1QB_Start11,2024,TE,0.75,13,13,,25.5
12T_1QB_Start11,2025,QB,0.25,12,12,,15.5
12T_1QB_Start11,2025,QB,0.5,9,9,,15.5
12T_1QB_Start11,2025,QB,0.75,5,5,,15.5
12T_1QB_Start11,2025,RB,0.25,55,55,,45.5
12T_1QB_Start11,2025,RB,0.5,46,46,,45.5
12T_1QB_Start11,2025,RB,0.75,41,41,,45.5
12T_1QB_Start11,2025,WR,0.25,67,67,,57.5
12T_1QB_Start11,2025,WR,0.5,52,52,,57.5
12T_1QB_Start11,2025,WR,0.75,43,43,,57.5
12T_1QB_Start11,2025,TE,0.25,31,31,,27.5
12T_1QB_Start11,2025,TE,0.5,25,25,,27.5
12T_1QB_Start11,2025,TE,0.75,15,15,,27.5
12T_SF_Start11,2016,QB,0.25,37,37,,27.5
12T_SF_Start11,2016,QB,0.5,30,30,,27.5
12T_SF_Start11,2016,QB,0.75,28,28,,27.5
12T_SF_Start11,2016,RB,0.25,51,51,,38.5
12T_SF_Start11,2016,RB,0.5,38,38,,38.5
12T_SF_Start11,2016,RB,0.75,28,28,,38.5
12T_SF_Start11,2016,WR,0.25,68,68,,56.5
12T_SF_Start11,2016,WR,0.5,54,54,,56.5
12T_SF_Start11,2016,WR,0.75,43,43,,56.5
12T_SF_Start11,2016,TE,0.25,26,26,,22.5
12T_SF_Start11,2016,TE,0.5,18,18,,22.5
12T_SF_Start11,2016,TE,0.75,11,11,,22.5
12T_SF_Start11,2017,QB,0.25,39,39,,27.5
12T_SF_Start11,2017,QB,0.5,34,34,,27.5
12T_SF_Start11,2017,QB,0.75,32,32,,27.5
12T_SF_Start11,2017,RB,0.25,55,55,,42.5
12T_SF_Start11,2017,RB,0.5,43,43,,42.5
12T_SF_Start11,2017,RB,0.75,32,32,,42.5
12T_SF_Start11,2017,WR,0.25,65,65,,53.5
12T_SF_Start11,2017,WR,0.5,49,49,,53.5
12T_SF_Start11,2017,WR,0.75,38,38,,53.5
12T_SF_Start11,2017,TE,0.25,22,22,,21.5
12T_SF_Start11,2017,TE,0.5,11,11,,21.5
12T_SF_Start11,2017,TE,0.75,9,9,,21.5
12T_SF_Start11,2018,QB,0.25,39,39,,27.5
12T_SF_Start11,2018,QB,0.5,34,34,,27.5
12T_SF_Start11,2018,QB,0.75,32,32,,27.5
12T_SF_Start11,2018,RB,0.25,50,50,,41.5
12T_SF_Start11,2018,RB,0.5,36,36,,41.5
12T_SF_Start11,2018,RB,0.75,32,32,,41.5
12T_SF_Start11,2018,WR,0.25,63,63,,57.5
12T_SF_Start11,2018,WR,0.5,50,50,,57.5
12T_SF_Start11,2018,WR,0.75,34,34,,57.5
12T_SF_Start11,2018,TE,0.25,17,17,,21.5
12T_SF_Start11,2018,TE,0.5,11,11,,21.5
12T_SF_Start11,2018,TE,0.75,5,5,,21.5
12T_SF_Start11,2019,QB,0.25,35,35,,27.5
12T_SF_Start11,2019,QB,0.5,31,31,,27.5
12T_SF_Start11,2019,QB,0.75,29,29,,27.5
12T_SF_Start11,2019,RB,0.25,49,49,,40.5
12T_SF_Start11,2019,RB,0.5,42,42,,40.5
12T_SF_Start11,2019,RB,0.75,34,34,,40.5
12T_SF_Start11,2019,WR,0.25,65,65,,54.5
12T_SF_Start11,2019,WR,0.5,53,53,,54.5
12T_SF_Start11,2019,WR,0.75,38,38,,54.5
12T_SF_Start11,2019,TE,0.25,20,20,,22.5
12T_SF_Start11,2019,TE,0.5,12,12,,22.5
12T_SF_Start11,2019,TE,0.75,9,9,,22.5
12T_SF_Start11,2020,QB,0.25,39,39,,27.5
12T_SF_Start11,2020,QB,0.5,33,33,,27.5
12T_SF_Start11,2020,QB,0.75,30,30,,27.5
12T_SF_Start11,2020,RB,0.25,51,51,,39.5
12T_SF_Start11,2020,RB,0.5,39,39,,39.5
12T_SF_Start11,2020,RB,0.75,30,30,,39.5
12T_SF_Start11,2020,WR,0.25,68,68,,56.5
12T_SF_Start11,2020,WR,0.5,52,52,,56.5
12T_SF_Start11,2020,WR,0.75,38,38,,56.5
12T_SF_Start11,2020,TE,0.25,23,23,,22.5
12T_SF_Start11,2020,TE,0.5,12,12,,22.5
12T_SF_Start11,2020,TE,0.75,6,6,,22.5
12T_SF_Start11,2021,QB,0.25,39,39,,27.5
12T_SF_Start11,2021,QB,0.5,35,35,,27.5
12T_SF_Start11,2021,QB,0.75,30,30,,27.5
12T_SF_Start11,2021,RB,0.25,59,59,,40.5
12T_SF_Start11,2021,RB,0.5,45,45,,40.5
12T_SF_Start11,2021,RB,0.75,32,32,,40.5
12T_SF_Start11,2021,WR,0.25,67,67,,56.5
12T_SF_Start11,2021,WR,0.5,48,48,,56.5
12T_SF_Start11,2021,WR,0.75,37,37,,56.5
12T_SF_Start11,2021,TE,0.25,21,21,,22.5
12T_SF_Start11,2021,TE,0.5,17,17,,22.5
12T_SF_Start11,2021,TE,0.75,10,10,,22.5
12T_SF_Start11,2022,QB,0.25,42,42,,27.5
12T_SF_Start11,2022,QB,0.5,35,35,,27.5
12T_SF_Start11,2022,QB,0.75,30,30,,27.5
12T_SF_Start11,2022,RB,0.25,50,50,,40.5
12T_SF_Start11,2022,RB,0.5,42,42,,40.5
12T_SF_Start11,2022,RB,0.75,35,35,,40.5
12T_SF_Start11,2022,WR,0.25,64,64,,56.5
12T_SF_Start11,2022,WR,0.5,51,51,,56.5
12T_SF_Start11,2022,WR,0.75,39,39,,56.5
12T_SF_Start11,2022,TE,0.25,19,19,,21.5
12T_SF_Start11,2022,TE,0.5,15,15,,21.5
12T_SF_Start11,2022,TE,0.75,5,5,,21.5
12T_SF_Start11,2023,QB,0.25,43,43,,27.5
12T_SF_Start11,2023,QB,0.5,33,33,,27.5
12T_SF_Start11,2023,QB,0.75,27,27,,27.5
12T_SF_Start11,2023,RB,0.25,45,45,,40.5
12T_SF_Start11,2023,RB,0.5,41,41,,40.5
12T_SF_Start11,2023,RB,0.75,35,35,,40.5
12T_SF_Start11,2023,WR,0.25,66,66,,55.5
12T_SF_Start11,2023,WR,0.5,50,50,,55.5
12T_SF_Start11,2023,WR,0.75,44,44,,55.5
12T_SF_Start11,2023,TE,0.25,19,19,,21.5
12T_SF_Start11,2023,TE,0.5,14,14,,21.5
12T_SF_Start11,2023,TE,0.75,11,11,,21.5
12T_SF_Start11,2024,QB,0.25,43,43,,27.5
12T_SF_Start11,2024,QB,0.5,34,34,,27.5
12T_SF_Start11,2024,QB,0.75,31,31,,27.5
12T_SF_Start11,2024,RB,0.25,45,45,,39.5
12T_SF_Start11,2024,RB,0.5,38,38,,39.5
12T_SF_Start11,2024,RB,0.75,32,32,,39.5
12T_SF_Start11,2024,WR,0.25,71,71,,56.5
12T_SF_Start11,2024,WR,0.5,55,55,,56.5
12T_SF_Start11,2024,WR,0.75,45,45,,56.5
12T_SF_Start11,2024,TE,0.25,23,23,,23.5
